Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,ParentId,Ownership,Footnotes,IsNested
000095017025022844,EX-21,"https://www.sec.gov/Archives/edgar/data/1090012/000095017025022844/dvn-ex21.htm",Failed,"FAILED","","0","","","","","false"
000109072725000019,EX-21,"https://www.sec.gov/Archives/edgar/data/1090727/000109072725000019/ups-12312024xexhibit21.htm",Failed,"FAILED","","0","","","","","false"
000109087225000087,EX-21,"https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-10312025xexx211.htm",Failed,"FAILED","","0","","","","","false"
000165495425002689,EX-21,"https://www.sec.gov/Archives/edgar/data/1093672/000165495425002689/pebk/ex21.htm",Failed,"FAILED","","0","","","","","false"
000155837025002049,EX-21,"https://www.sec.gov/Archives/edgar/data/1093691/000155837025002049/plug-20241231xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000141057825000549,EX-21,"https://www.sec.gov/Archives/edgar/data/1094038/000141057825000549/mrkr-20241231xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000132616025000072,EX-21,"https://www.sec.gov/Archives/edgar/data/1094093/000132616025000072/duk-20241231x10kxexx21.htm",Failed,"FAILED","","0","","","","","false"
000109605625000015,EX-21,"https://www.sec.gov/Archives/edgar/data/1096056/000109605625000015/a2024subsidiarylist.htm",Failed,"FAILED","","0","","","","","false"
000109714925000012,EX-21,"https://www.sec.gov/Archives/edgar/data/1097149/000109714925000012/ex211-20241231.htm",Failed,"FAILED","","0","","","","","false"
000162828025004557,EX-21,"https://www.sec.gov/Archives/edgar/data/1097864/000162828025004557/exhibit211-listofsubsidiar.htm",Failed,"FAILED","","0","","","","","false"
000095017025040289,EX-21,"https://www.sec.gov/Archives/edgar/data/1098972/000095017025040289/agen-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000095017025045211,EX-21,"https://www.sec.gov/Archives/edgar/data/1099160/000095017025045211/bbgi-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000109921925000044,EX-21,"https://www.sec.gov/Archives/edgar/data/1099219/000109921925000044/exh211/subsidiariesofthere.htm",Failed,"FAILED","","0","","","","","false"
000110223825000004,EX-21,"https://www.sec.gov/Archives/edgar/data/1102238/000110223825000004/arl20241231ex211subsidiari.htm",Failed,"FAILED","","0","","","","","false"
